	GSM330151.CEL	GSM330153.CEL	GSM330154.CEL	GSM330157.CEL	GSM330171.CEL	GSM330174.CEL	GSM330178.CEL	GSM330182.CEL	GSM330185.CEL	GSM330186.CEL	GSM330195.CEL	GSM330201.CEL	GSM330532.CEL	GSM330546.CEL	GSM330559.CEL	GSM330566.CEL	GSM330571.CEL	GSM330574.CEL	GSM330580.CEL	GSM330584.CEL	GSM330593.CEL	GSM330603.CEL	GSM330611.CEL	GSM330612.CEL	GSM330933.CEL	GSM330934.CEL	GSM330969.CEL	GSM330979.CEL	GSM330980.CEL	GSM330982.CEL	GSM330987.CEL	GSM330999.CEL	GSM331004.CEL	GSM331009.CEL	GSM331037.CEL	GSM331048.CEL	GSM331377.CEL	GSM331378.CEL	GSM331381.CEL	GSM331382.CEL	GSM331383.CEL	GSM331386.CEL	GSM331387.CEL	GSM331388.CEL	GSM331389.CEL	GSM331390.CEL	GSM331392.CEL	GSM331393.CEL	GSM331660.CEL	GSM331661.CEL	GSM331663.CEL	GSM331666.CEL	GSM331668.CEL	GSM331670.CEL	GSM331671.CEL	GSM331672.CEL	GSM331673.CEL	GSM331674.CEL	GSM331675.CEL	GSM331677.CEL
ENSG00000000003	3.3867427382997	3.68702856316563	3.36051729082204	3.45938795307407	3.59858897245745	3.26645042327791	3.62562095905654	3.32854160039777	3.36684790806146	3.5946727056598	3.2309634129308	3.40003189004902	3.55525096023469	3.44562626621735	3.30699966031552	3.70426983136017	3.79512299707463	3.4087145942172	3.93696789091003	3.53950752501828	3.87705852958483	3.4373161387038	3.64747182677311	3.497533487097	3.20918267267786	3.68014153141323	3.9374712794843	3.43475070304497	3.45043407957335	3.52541786138312	3.26726808744459	3.51275896745938	3.36913640828344	3.51908951689208	3.36880230097954	3.44466849426673	3.6925044924795	3.51240440299602	3.57476603544953	3.47261186928738	3.39300811532942	3.4819083367969	4.28901245457325	3.42851987481851	3.42768844326686	3.56751066030312	3.8057512538135	3.67239345364024	3.99139922970128	3.70935918969056	3.87961358412174	3.90337233763688	3.76132029797955	3.40023818331972	3.99879461607947	3.5272665326958	3.558176685393	3.53424312853592	3.56347318154539	3.62864819496018
ENSG00000000005	3.53903011670408	3.83620753559569	3.24632687396946	3.06328584288672	3.30754332711773	2.89874174765566	3.37655351131777	3.09921458602529	3.10574812645773	3.26785957882022	3.17342503765387	3.12722944389433	3.4073660288642	3.28554131914585	3.30405586781208	3.76606056304232	3.39332207897943	3.19254223277268	3.48559936536577	3.20744388274272	3.36576697185902	3.13539090429731	3.25047340888156	3.37966172706188	3.21746936975624	3.6525290559192	3.26748312826906	2.9741080301207	3.19947714158803	3.31216090759129	3.36827084819776	3.07384756294416	3.14956492092332	3.24321997407591	3.23452887897699	3.24302688785783	3.25883151835692	3.37105069234177	3.4722330919988	3.40730096249052	3.27333340840539	3.05274341351966	3.32586346510222	3.51568331338859	3.82474611334139	3.08456653350169	3.65222034898324	3.29692884196252	3.27977560893408	3.22338948654454	3.33319496739794	3.42135460995236	3.44858677374189	3.36898805839242	3.36446108398514	3.08592585151167	3.46279802856529	3.33612725188926	3.12817301472607	3.14641088647106
ENSG00000000419	9.82275836480768	7.96916964230909	9.45749069737978	9.5910180446293	9.86368731756389	9.35709115989889	8.45682544555947	9.39142186174913	8.81006627470261	9.54369690881325	10.1466606112261	9.6654574976728	8.89032590403811	9.2270334854027	9.25488818859838	7.64262033399214	9.89441580820976	10.069000225313	9.90985898482318	9.82983765589703	9.74558742138267	9.27876796490657	9.67532868040201	9.6265156442394	8.62801241249619	10.0063675938746	10.2853665075346	8.67485052230207	10.0539835142364	9.99492552466578	10.0138576727795	10.1140369600762	9.7030018457874	9.49762728209135	10.3550675700184	9.44319298853704	8.64424664134202	9.09559480204747	9.11704894904437	9.21180318741363	8.85183465229289	9.5775721458899	9.5361510170808	8.98703034773774	8.98325146065164	9.05650357403909	7.66371757013498	8.86494049535655	9.58696210445332	9.39523724750202	9.67286782455119	9.28658299518785	9.17544517286061	9.56766946223912	9.48395982074143	9.37958561761791	9.35410596533167	9.17999841495458	9.57233714074006	9.40546278078953
ENSG00000000457	4.74728275441351	4.86634379507733	4.98164163145158	5.98285427928703	5.77944901819041	6.25103118612372	5.40686871884243	6.28238271878821	5.41957826471462	5.04551849695541	6.62151415961364	5.51605854556224	5.78181313295907	6.91874418334683	5.95173696283361	6.44278047457384	5.44856107242365	5.41553492794262	6.1590609291389	6.4308940908119	4.87638330603002	6.23463441913689	5.28423696421233	6.64654336329668	6.55851834336428	5.31171166611846	5.64463086042838	5.78617321180981	5.11877593334954	5.33094722314267	4.78578685066379	6.25260270424476	6.4121805177829	5.44820082581005	5.0257227650599	6.98185818338181	4.56672074807439	4.78151147077894	4.41441560029049	5.4091871037579	5.01927286251039	4.69756126922843	5.63125429531773	4.84631167013456	4.68531991353315	5.83381269752905	5.30751258135265	5.37544895111618	5.33011777353049	5.50840464950547	5.67051949831429	5.17329560523737	4.29020834018036	5.65646365054899	5.48951838080831	6.41757927830593	5.41164200723953	5.78106679137942	6.17777655147808	5.80372741373082
ENSG00000000460	3.30718807849445	4.04640249716476	5.52936930047996	4.61944430519232	3.35269611758139	4.38586548050178	5.33318243038341	3.83387643853523	3.95782584942941	4.38203536143959	4.51830276673755	3.60992084212159	4.13932369991639	3.93088834160329	3.86751260539983	3.63974702282159	3.53334709434091	3.2902999611304	3.50525231457819	5.0592604347486	3.4600453661781	5.04832754334402	3.67130925111311	4.1162741651474	4.15521749968746	2.97331352774659	3.70885420289697	3.30731862929202	3.31408063691235	3.38253962455437	3.30959069185672	3.95446667520609	3.82426913576097	3.45321929586835	3.26432048605523	4.13548673373369	3.87625263976457	4.22258373324891	3.99883550916051	4.42811033579861	4.08704112876573	4.65219230283058	3.78596036957136	4.00563152985294	3.34552472198153	4.99392191880594	4.03204891472451	4.49785215603575	5.64908254335074	5.11774874554646	4.88745018785975	4.7610145266468	3.98737178866264	4.12553876049107	4.02721514023338	4.30449939892938	4.71866638608429	4.03866336101332	4.14590053951003	5.72399403904123
ENSG00000000938	8.23072130375316	7.94581785279974	6.41182967732741	6.88201665818596	7.20257268908068	5.97562528468008	8.77193948106183	6.94164914734632	7.744926714088	4.64358517247237	5.56592947344093	5.50431078903499	8.90816014169749	8.3547867457178	11.2540851529921	7.89629053267435	10.3177436092636	5.72401645740459	8.211414754527	7.89295246155737	6.28471065101821	10.7588892058268	9.98463758477409	6.68251210865991	10.2027457309704	9.81502628921197	9.8250175930923	11.447532704285	11.054963206953	10.5989414355469	8.57611203410853	10.1241684584909	10.4643350539088	10.1299542328371	9.4671689572525	11.23705498097	11.0247585011129	11.2448461602731	10.1440640490219	11.1005017237412	11.5900585528844	10.8110681834921	10.8102709684045	11.3161813220074	10.3092071490723	11.5785655208661	11.4132313723715	11.6289323607723	10.3375692947538	11.1399556873631	11.0573637887129	10.4348334269782	10.3266104089965	10.9003009450978	11.203853115132	11.5703322966208	11.289804822406	11.4657597929494	10.9309810621135	10.9807255769778
ENSG00000000971	3.91417234903568	4.10120074893838	3.75091440926092	3.4477047968667	4.03029414044261	3.36176183166965	3.96297039033287	3.63177488191505	3.804744526898	3.62407740425367	3.66585164195141	3.72535430356581	3.78618484179022	3.62182209105821	4.68816145638859	7.59990562424783	3.97779693116197	3.68114375386194	3.97255885092286	6.20266807766528	3.70133226202419	3.70587025807681	3.60495488971116	7.03139239569535	3.85410092123885	3.68609957704809	4.34814679120426	3.60527970783798	3.66408923921442	3.95712728044861	3.6710533133647	3.72151950228242	3.60942500843508	3.6257159045273	4.00752689102989	4.37212123583209	4.05986848398401	3.90775858770597	4.12955224995641	4.33204356672515	3.96232320516811	4.37851890115216	4.56415895182273	4.79105757998702	4.07489752364594	3.83834070641337	4.8845802414895	3.7521101402971	3.64732389267337	4.07425111483381	3.97397056317531	3.6846968512105	3.96486992644698	4.05121272363415	4.33471962799696	3.9899773220897	3.69122165999583	3.96967442606884	3.85137306975387	3.81907652456418
ENSG00000001036	4.26494156242913	4.65599916582997	4.82622471574213	6.26929151454041	4.39207785118836	3.83255169564065	6.87766378698519	4.92313879079372	4.05425649656904	4.68848815355482	4.30112806532508	3.94148984315343	6.77021901595722	7.7859867668899	8.8839874115801	7.17971556051477	9.16327844733014	7.10943307022506	4.62217356415958	6.78609159791754	6.76251183890469	9.06117267185876	6.86603617513223	7.45945019436379	7.77409663818972	5.23172686033279	5.05583156664967	7.30315355631841	6.33375578176805	6.5255161891725	5.87197543958341	6.46418691676975	5.98691922932804	5.1228915064208	7.00165031117933	6.70779708386765	9.02731452517041	8.48481308951106	8.6084079153685	7.89666495761856	8.49472715188745	8.4340468650415	8.49682354432822	8.87133301618301	7.6990129676561	8.49837071790885	5.73001450822472	8.48968905837282	7.88879493951216	8.06867826601478	7.7893634297991	7.42252988739357	8.39821438752296	7.96301809818935	8.8805226539193	7.96100914376251	7.36812517081862	8.00277423742385	7.31726727265571	8.18094987514463
ENSG00000001084	6.41504185044678	4.91702127872304	6.52755826434812	6.8923705968333	6.54157899499664	6.91939724743118	6.19647375299094	7.38391657606511	5.08364235522116	5.98459328446974	7.26411417965743	6.66036173275791	6.75395364951544	7.42611665208467	7.69283150344297	7.40069010110406	7.29265609631414	6.78899316637715	7.77628333252021	7.8946099588101	6.27225034976641	8.4358689214288	6.73099051714791	6.930885139287	8.92792149095114	5.90056736682142	6.76403136099752	9.22722452564124	6.79554567621035	7.23422887675535	9.09982991956639	7.822858477389	9.02635151631602	7.75944396500317	8.6073404279901	7.33305508211764	7.82922870362677	8.39076005163949	7.13825029854323	8.73298170872004	7.62197121906252	8.47244143089982	7.49710434160995	7.71993602645524	8.45425826361364	8.43446320394174	6.2003137810303	8.13128209254932	9.29962234967799	8.81092489201856	9.08574219334323	9.59875153706076	8.68482131831473	7.71006293160404	7.78012563759358	7.81954111180066	8.69595823730175	8.12700601562925	7.92353073649903	8.88771112796351
ENSG00000001167	6.30080014949545	6.36183222511935	7.80091914846311	5.744245862103	5.28722013858162	5.88512242542764	6.40698404222585	5.79969557621147	5.98252919077643	6.7147028108591	7.37974160925598	6.03265394924574	5.78032696985068	5.63777505696517	5.43000518991137	5.09588256181995	5.22563790088515	5.73422702476971	5.42681697447961	5.91918775897834	6.25363863568203	5.62433609015434	5.36982685350025	5.03700329712277	5.60218797885623	4.9972144254286	5.63880550187257	5.54119194914695	5.85935360513185	5.57478638049465	5.5658067760861	5.93369711609031	5.65339766557482	6.05714554474708	6.10488160324407	5.88756234569426	5.976731017991	5.9448112672869	5.27663664177123	6.4498385916239	5.87274362100893	5.895061654973	5.76605314358122	5.96704862326201	5.61362986188488	6.46887390504859	5.98042875103682	6.48793428578902	5.64362616144629	5.68850590515201	5.82484897147247	6.06697975955995	5.42402813236874	5.537309339888	6.00796333578869	5.36230124664274	5.90819508465264	6.21811451177046	5.765245270313	6.11565743961892
